,id,lon,lat
255,54817,115.87,35.98
256,54818,116.42,36.25
257,54819,116.8,36.18
258,54820,115.2,36.82
259,54821,117.2,37
260,54822,117.73,36.87
261,54823,117,36.6
262,54824,117.95,36.63
263,54825,117.85,36.52
264,54827,117.15,36.17
265,54828,117.68,36.23
266,54829,117.87,36.77
267,54830,117.93,36.82
268,54831,118.5,36.65
269,54832,118.8,36.87
270,54833,118.08,36.97
271,54834,118.28,36.87
272,54835,118.55,36.5
273,54836,118.17,36.18
274,54837,118.83,36.68
275,54841,119.42,36.87
276,54842,120,36.78
277,54843,119.2,36.75
278,54844,119.18,36.42
279,54846,119.73,36.38
280,54848,119.42,35.98
281,54849,120.03,36.22
282,54851,120.57,36.9
283,54852,120.73,36.97
284,54853,120.42,36.17
285,54855,120.38,36.4
286,54857,120.33,36.07
287,54900,115.02,35.7
288,54901,115.17,36.08
289,54902,115.15,35.95
290,54903,115.48,35.85
291,54904,115.52,35.58
292,54905,115.93,35.58
293,54906,115.42,35.25
294,54907,116.65,34.98
295,54908,115.1,35.27
296,54909,115.52,35.08
297,54910,116.05,35.82
298,54911,116.4,35.93
299,54912,116.5,35.77
300,54913,116.82,35.75
301,54914,116.08,35.42
302,54915,116.6,35.43
303,54916,116.85,35.57
304,54917,116.33,35.13
305,54918,116.97,35.6
306,54919,116.98,35.38
307,54920,117.28,35.65
308,54921,116.33,35.42
309,54922,117.75,35.87
310,54923,117.93,35.72
311,54925,117.68,35.5
312,54927,117.2,35.1
313,54929,117.97,35.27
314,54932,118.65,35.77
315,54935,118.43,35.53
316,54936,118.83,35.57
317,54938,118.4,35.05
318,54939,118.82,35.17
319,54940,119.2,35.75
320,54943,120,35.88
321,54945,119.55,35.47
322,57079,113.03,34.95
323,57081,113.43,34.8
324,57082,113.02,34.47
325,57083,113.65,34.72
326,57085,113.33,34.53
327,57086,113.72,34.38
328,57087,113.73,34.27
329,57088,113.5,34.18
330,57089,113.93,34.07
331,57090,113.97,34.72
332,57091,114.3,34.78
333,57093,114.82,34.85
334,57094,114.22,34.4
335,57095,114.15,34.12
336,57096,114.78,34.53
337,57098,114.4,34.08
338,57099,114.85,34.07
339,57191,114.47,34.52
340,58001,115.1,34.43
341,58002,115.58,34.85
342,58003,115.88,34.95
343,58004,115.15,34.65
344,58005,115.53,34.43
345,58006,115.88,34.38
346,58007,115.3,34.07
347,58008,115.33,34.47
348,58011,116.07,34.8
349,58012,116.65,34.67
350,58013,116.9,34.75
351,58015,116.33,34.45
352,58016,116.97,34.18
353,58017,116.13,34.25
354,58020,117.13,34.8
355,58021,117.28,34.78
356,58022,117.57,34.75
357,58024,117.58,34.87
358,58025,117.73,34.57
359,58026,118.02,34.4
360,58027,117.15,34.28
361,58030,118.02,34.88
362,58032,118.65,34.95
363,58034,118.32,34.6
364,58035,118.35,34.33
