,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
372895,54700.0,115.93,38.03,2016,11,27,7.171985681861028,7.230050682170142,0.0580650003091136
477995,54731.0,118.22,37.48,2020,3,29,11.257272897370653,12.54765058975002,1.2903776923793655
38085,53798.0,114.37,37.18,2004,1,22,3.3351368262681635,3.108215265273867,-0.2269215609942967
144820,53599.0,114.68,39.37,2008,9,14,19.838829786400453,19.51562445361675,-0.3232053327837043
241649,54848.0,119.42,35.98,2011,2,25,7.528926758110376,7.58542726548576,0.0565005073753841
477070,54716.0,116.8,37.67,2020,7,12,26.85017910182788,27.82117735351397,0.9709982516860868
225740,53895.0,114.45,36.75,2011,7,7,26.99763673864932,27.081151184370693,0.0835144457213772
118499,53698.0,114.35,38.07,2007,8,31,25.07999745899568,23.85051759690548,-1.2294798620902014
168923,53680.0,114.38,38.3,2009,10,4,17.448327714079134,17.707381949075057,0.2590542349959257
39837,53980.0,114.8,36.55,2004,12,23,0.5480522121012021,1.3958017250651469,0.8477495129639447
223042,53697.0,114.83,38.03,2011,3,25,9.420628872052465,9.906512584567915,0.4858837125154522
471307,54501.0,115.68,39.97,2020,2,14,6.3789762654720334,6.2936095488821175,-0.0853667165899159
245193,57086.0,113.72,34.38,2011,8,4,26.82060021663037,27.005778445162665,0.1851782285322905
352732,54848.0,119.42,35.98,2015,3,13,10.336582004050332,11.378399382652097,1.0418173786017633
233000,54603.0,115.77,38.72,2011,6,22,27.673995643234328,28.361979998733048,0.6879843554987239
2567,53690.0,114.18,38.85,2003,1,24,3.775873316816656,5.332194820294418,1.5563215034777618
135599,54830.0,117.93,36.82,2007,10,15,14.680790281213806,14.943887259922644,0.2630969787088393
189120,54927.0,117.2,35.1,2009,11,2,6.594285705979456,6.952141504259036,0.3578557982795791
335335,53784.0,114.78,37.75,2015,1,13,4.445783355289908,4.657549490290134,0.211766135000226
344082,54594.0,116.35,39.72,2015,3,20,13.070767463946137,13.543278635898751,0.4725111719526165
147975,53894.0,114.2,36.4,2008,6,11,26.23850775318534,26.26136943367461,0.0228616804892709
85750,58027.0,117.15,34.28,2005,9,30,25.084586752945327,26.84591548000861,1.7613287270632902
320826,54714.0,116.33,37.45,2014,1,18,5.324201436628363,5.576169569383016,0.2519681327546532
159022,54803.0,116.02,36.98,2008,3,14,11.242948008018177,12.27160430309165,1.0286562950734712
426353,54712.0,116.82,37.2,2018,12,15,6.8493052896123015,5.85186369722548,-0.9974415923868216
363862,53886.0,113.67,36.57,2016,7,2,26.167630842561422,26.43509949200977,0.2674686494483502
74681,54623.0,117.72,39.05,2005,12,9,4.2110160462722925,2.9462380943512496,-1.264777951921043
180224,54622.0,117.37,38.98,2009,6,10,22.803702037272373,23.130850604426893,0.3271485671545236
116814,53584.0,113.17,39.57,2007,2,4,3.3056510085850066,4.478836551564262,1.1731855429792564
297207,54818.0,116.42,36.25,2013,4,24,17.92686237909002,18.07723553085517,0.1503731517651445
399689,54711.0,116.28,37.7,2017,11,9,14.88971135450871,14.860342401203606,-0.029368953305104
192124,58024.0,117.58,34.87,2009,1,19,5.772197751836273,6.096511778772329,0.3243140269360571
430449,54831.0,118.5,36.65,2018,9,1,26.760556416757503,26.8641049015464,0.1035484847888987
413574,53689.0,115.07,38.02,2018,3,3,12.435211981381396,12.616362743878213,0.1811507624968147
62902,53481.0,113.22,40.8,2005,6,18,21.202917849470342,21.33843929650117,0.1355214470308325
264761,54708.0,115.73,37.5,2012,6,24,29.107476707201165,27.974222597838917,-1.1332541093622588
471988,54515.0,116.7,39.5,2020,7,4,27.67050367738451,27.46040342141841,-0.2101002559660969
343730,54534.0,118.1,39.65,2015,5,6,15.8190201385085,17.876064237822355,2.0570440993138543
477959,54731.0,118.22,37.48,2020,4,29,19.778234553988632,20.807626450953784,1.0293918969651514
86353,58045.0,119.6,34.2,2005,10,2,22.064547300661225,20.519440557725712,-1.5451067429355128
67319,53894.0,114.2,36.4,2005,4,4,19.178395586136936,17.759548976542124,-1.4188466095948122
375414,54753.0,120.33,37.63,2016,12,1,9.697791113468824,8.342460730384751,-1.3553303830840748
103237,54715.0,116.52,37.32,2006,5,1,18.15659338959271,19.03711883650948,0.8805254469167707
354454,54916.0,116.85,35.57,2015,3,10,5.763737368566583,6.524654044813269,0.7609166762466861
44805,54518.0,116.4,39.17,2004,5,5,19.915052162411392,18.21460827811245,-1.700443884298945
325093,54837.0,118.83,36.68,2014,11,21,12.551893680617347,13.03031606790686,0.4784223872895126
480826,54831.0,118.5,36.65,2020,3,20,15.362299143291189,15.43964563343057,0.0773464901393854
100840,54619.0,116.92,38.92,2006,7,13,30.9396815094472,32.08250048311341,1.1428189736662129
201177,54423.0,117.92,40.97,2010,6,30,27.81401325739132,27.39657286018476,-0.4174403972065584
476667,54710.0,116.17,37.87,2020,10,6,15.027963431070036,14.995958052019164,-0.0320053790508705
30667,57099.0,114.85,34.07,2003,4,5,14.522023203492711,14.073603969905784,-0.4484192335869288
173392,53991.0,114.33,35.92,2009,6,6,23.893146986933136,24.002336428860342,0.1091894419272101
233486,54609.0,115.58,38.23,2011,5,19,20.672389582056887,20.934724616817046,0.2623350347601594
24258,54830.0,117.93,36.82,2003,10,26,16.212006757192274,16.54750632947071,0.3354995722784366
432168,54906.0,115.42,35.25,2018,10,14,17.864381106343664,16.640103710093115,-1.2242773962505495
151123,54436.0,118.95,40.42,2008,3,27,8.885014046587045,7.681349909015112,-1.2036641375719324
283775,53980.0,114.8,36.55,2013,5,20,20.873453443937343,21.0120404063008,0.1385869623634548
98105,54525.0,117.28,39.73,2006,5,5,19.63267188428501,18.57186352062582,-1.0608083636591914
429338,54816.0,116.8,36.52,2018,4,19,24.15724539255415,23.916359487705265,-0.2408859048488843
463182,53492.0,114.15,40.1,2020,6,18,21.76733967244745,21.62642790718971,-0.1409117652577336
293807,54712.0,116.82,37.2,2013,6,24,28.080742572486987,27.038655927468877,-1.0420866450181163
379261,54908.0,115.1,35.27,2016,9,6,26.75567241314217,27.489142847382663,0.7334704342404947
193693,53491.0,114.38,40.68,2010,12,15,-4.069648078105597,-3.715894320335488,0.3537537577701082
476375,54706.0,115.67,37.08,2020,1,19,5.478841734712058,5.328014317208249,-0.1508274175038106
285116,54398.0,116.62,40.13,2013,9,17,23.20426616432704,24.35781108862401,1.1535449242969733
439426,53681.0,113.37,38.83,2019,10,5,12.543405681198422,10.451799614624868,-2.091606066573556
54835,54834.0,118.28,36.87,2004,12,18,7.71459662202229,7.942510704119053,0.2279140820967633
248804,53484.0,113.15,40.45,2012,3,20,6.036344478405415,4.892445574447739,-1.143898903957676
294750,54728.0,117.35,37.77,2013,6,27,30.38850423194204,30.59345219557421,0.204947963632172
226192,53979.0,113.08,35.15,2011,8,26,26.34824706273037,25.878733768845603,-0.469513293884777
