,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
157251,54717.0,116.4,37.63,2008,2,10,-4.491968724048704,-5.386374269110873,-0.8944055450621695
144989,53682.0,114.68,38.63,2008,12,23,-7.384492451998672,-7.589102513412431,-0.2046100614137591
191122,58003.0,115.88,34.95,2009,4,7,17.493099891303178,16.479692353974677,-1.0134075373284972
61313,58020.0,117.13,34.8,2004,11,22,5.697176138311776,7.470000865408465,1.7728247270966886
298608,54837.0,118.83,36.68,2013,9,15,25.516123131890893,25.432804510955062,-0.0833186209358274
167612,53484.0,113.15,40.45,2009,11,7,3.3312773180438464,3.6884132181716622,0.3571359001278154
248223,58044.0,119.23,34.55,2011,3,15,2.621227609090276,2.1424637265571724,-0.4787638825331033
404907,54851.0,120.57,36.9,2017,5,18,21.8950414096855,23.72230493379964,1.8272635241141333
307393,53596.0,115.13,38.85,2014,11,13,3.025743174082052,1.3578067444158637,-1.6679364296661885
318727,54618.0,116.55,38.08,2014,8,19,26.957392307646003,27.382146047479765,0.4247537398337542
344364,54602.0,115.48,38.73,2015,3,9,-1.7424507631416812,-2.506137031485314,-0.763686268343633
268753,54820.0,115.2,36.82,2012,2,3,-6.24951032981796,-5.740840017545284,0.5086703122726766
478426,54744.0,118.55,37.58,2020,7,24,29.54009643626499,31.48680081243357,1.9467043761685865
22593,54810.0,116.27,36.87,2003,11,12,2.587466267534781,2.9204519291237743,0.3329856615889923
149243,53993.0,114.92,35.93,2008,9,16,25.12059985706289,26.18863829185587,1.068038434792978
388007,53788.0,113.57,37.33,2017,3,4,-2.291254527441584,-2.4305445071055005,-0.1392899796639164
209238,54725.0,117.53,37.5,2010,10,10,18.469797814979746,18.216052060342918,-0.2537457546368316
378655,54857.0,120.33,36.07,2016,12,22,-2.0768254054356365,0.159459954507339,2.2362853599429755
28844,54939.0,118.82,35.17,2003,5,3,16.06262160350795,18.648984860838965,2.586363257331016
121880,53984.0,113.47,35.23,2007,6,10,25.93656586128509,28.037884124554036,2.10131826326894
192302,58027.0,117.15,34.28,2009,12,10,7.0046357245980975,7.39671957628124,0.3920838516831431
369173,54519.0,116.48,39.3,2016,9,20,18.9266156540794,19.449573992955955,0.5229583388765562
393345,54438.0,118.88,39.88,2017,6,3,17.667518450330018,20.31372614016182,2.6462076898318005
