,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference
240939,54834.0,118.28,36.87,2011,1,16,-10.569873506985246,-10.26175329440962,0.3081202125756253
349017,54736.0,118.67,37.43,2015,1,2,-4.827492647034172,-3.799201885016561,1.0282907620176114
7337,53983.0,114.42,35.03,2003,2,7,1.915658133624736,1.2594940228228169,-0.6561641108019192
144966,53681.0,113.37,38.83,2008,10,29,0.1822984073098004,1.4919607197499338,1.3096623124401334
479487,54810.0,116.27,36.87,2020,2,29,4.034295228359442,3.135501922512153,-0.8987933058472883
73708,54608.0,115.55,38.0,2005,3,21,5.575427888123208,4.374462375336379,-1.2009655127868293
314606,54437.0,118.62,39.5,2014,6,21,18.807927165074783,19.094051917530926,0.2861247524561428
468409,53988.0,113.67,35.27,2020,12,22,-1.8870433822250208,-0.1395319025261707,1.7475114796988502
61658,58025.0,117.73,34.57,2004,10,17,13.041165234985936,13.417667146175615,0.3765019111896813
342022,54507.0,115.52,39.33,2015,3,15,2.4786260670956874,3.9324493640151785,1.4538232969194915
162286,54905.0,115.93,35.58,2008,3,15,6.7569350443016845,5.857710779386532,-0.8992242649151514
171693,53885.0,113.2,36.12,2009,8,5,17.929025291121835,17.427885311044747,-0.5011399800770882
418693,54406.0,115.97,40.45,2018,12,25,-10.672865373871876,-9.396218512389463,1.2766468614824138
338386,53985.0,113.82,35.5,2015,11,30,-0.280313653739908,0.0362699025129097,0.3165835562528178
123664,54416.0,116.87,40.38,2007,11,19,-1.41234535008744,-3.1615513878393755,-1.7492060377519354
134854,54820.0,115.2,36.82,2007,8,20,24.21931364890259,24.66843834087791,0.4491246919753138
326696,54910.0,116.05,35.82,2014,7,28,24.21931364890259,23.270036181461588,-0.9492774674410108
34728,53580.0,113.1,39.82,2004,1,20,-14.963012268017971,-16.673315599913753,-1.7103033318957817
376155,54809.0,115.28,36.55,2016,3,8,-0.8517409808398589,-0.5226889607591898,0.3290520200806692
306650,53498.0,115.03,40.57,2014,10,14,3.35971088542329,4.035350002267879,0.6756391168445885
225122,53885.0,113.2,36.12,2011,8,14,22.05376071888657,20.96507574005379,-1.0886849788327773
75383,54700.0,115.93,38.03,2005,5,7,13.56906917403748,12.45419316605948,-1.1148760079779994
158021,54730.0,118.13,37.7,2008,11,28,-0.7521594674764311,-0.0286129134001716,0.7235465540762596
80863,54852.0,120.73,36.97,2005,3,19,-0.791537063588549,1.5261208707825833,2.317657934371132
68457,53992.0,114.52,35.65,2005,1,17,-3.4166658687839497,-3.5825283892874817,-0.1658625205035324
94322,54401.0,114.92,40.77,2006,12,29,-11.07610622571357,-11.88784390755699,-0.8117376818434199
291412,54615.0,116.85,38.58,2013,3,30,3.194506492985388,3.2008309697142603,0.0063244767288721
19555,54718.0,116.47,37.15,2003,4,14,10.37852864023668,10.3747962844271,-0.003732355809582
199892,53995.0,114.5,35.55,2010,8,18,24.633598534429375,24.748975360834788,0.1153768264054093
324036,54822.0,117.73,36.87,2014,8,24,21.496850694357,20.90781248734725,-0.5890382070097502
105060,54753.0,120.33,37.63,2006,9,28,17.37960071860029,16.74766277766224,-0.6319379409380517
364572,53897.0,114.35,36.4,2016,12,11,0.0926782668674963,-0.9719728015524298,-1.0646510684199262
111424,54938.0,118.4,35.05,2006,10,11,16.06143615564273,16.58471223491997,0.5232760792772382
141250,58004.0,115.15,34.65,2007,3,30,10.72094914612159,9.832281281199965,-0.8886678649216275
453146,54738.0,118.4,37.05,2019,7,20,25.080489017920275,24.22057454596053,-0.8599144719597439
276662,58025.0,117.73,34.57,2012,6,25,21.543220763199805,22.038703196828248,0.4954824336284354
365002,53981.0,113.27,35.78,2016,8,13,22.3798274150318,22.02263158839743,-0.3571958266343706
341151,54438.0,118.88,39.88,2015,6,5,16.76204277166434,17.798549869292355,1.0365070976280144
40231,53985.0,113.82,35.5,2004,10,15,9.815598428265686,10.29129755693318,0.475699128667495
319692,54644.0,117.12,38.05,2014,5,5,6.284711180399232,8.554750639059625,2.270039458660392
60338,58002.0,115.58,34.85,2004,10,18,12.694228197464346,12.89614344018266,0.2019152427183161
